"","bi_thr","bi_cut","tri_thr1","tri_cut1","tri_thr2","tri_cut2"
"CD11a",3.28452026016567,2.87713458758035,NA,NA,NA,NA
"CD11c",1.31922713462694,1.30897913216858,1.14307205089764,0.968438435599484,1.80271696149498,1.6373420283648
"CD123",0.450580780262728,0.391887258573147,0.364334265549532,0.297777705911412,1.26414931030332,1.17557542207342
"CD127-IL7Ra",0.720859126408906,0.624370627190454,NA,NA,NA,NA
"CD14",0.650284272387424,0.71386444461258,0.61295304518393,0.594124611960054,1.89216966492202,1.42216229202666
"CD16",1.01932821960817,1.08142917368172,0.944823305794237,0.86757293902127,1.64225144728343,1.74883189044182
"CD161",0.548667300912306,0.515583884573067,NA,NA,NA,NA
"CD19",0.53941440477253,0.632047384017698,0.461719961759852,0.39546731908748,0.800805079743088,0.87728900563693
"CD197-CCR7",0.627752468904936,0.617528321157176,NA,NA,NA,NA
"CD25",0.286060794960147,0.248351467231193,NA,NA,NA,NA
"CD27",1.6633256299582,1.60010526616711,1.54950126195328,1.39674391299793,4.06214903810709,2.6023093952276
"CD278-ICOS",0.664357252658713,0.543162129678339,0.666515146880796,0.546893399119608,1.74807001313972,1.56331453152563
"CD28",0.639551260557799,0.557564509066874,NA,NA,NA,NA
"CD3",2.06957652392168,2.08044011137139,NA,NA,NA,NA
"CD34",0.658637525598958,0.653057922223683,0.486998398906567,0.36870622282017,0.862886647301227,0.822296971345927
"CD38",0.983296828759095,0.72909101789144,NA,NA,NA,NA
"CD4",1.00691982376201,0.82823312158742,1.01251226815692,0.812360819165125,2.69675517628561,2.64369413182862
"CD45RA",1.70325036428941,1.45302922837009,NA,NA,NA,NA
"CD45RO",0.468588083760081,0.388046955529275,0.432620210300716,0.349881995453991,0.972834711894174,0.685281622118804
"CD56",0.297211395951161,0.297822944520876,NA,NA,NA,NA
"CD57",0.802724547995225,0.808116336266101,NA,NA,NA,NA
"CD69",0.806271349090921,0.678809046853967,0.78660876810928,0.657547913205192,2.01033837504574,1.79649123319718
"CD79b",0.311694352838413,0.30170885372298,NA,NA,NA,NA
"CD8a",1.64996556603775,1.93238285333042,1.49414588688616,1.43937834379344,4.99849696919755,3.58795148394678
"HLA.DR",1.13685323700515,0.990872654846933,NA,NA,NA,NA
