marker_name,bi_thr,bi_cut,tri_thr1,tri_cut1,tri_thr2,tri_cut2,threshold_col,threshold_value
CD11a,3.28452026,2.877134588,NA,NA,NA,NA,bi_cut,2.877134588
CD11c,1.319227135,1.308979132,1.143072051,0.968438436,1.802716961,1.637342028,bi_cut,1.308979132
CD123,0.45058078,0.391887259,0.364334266,0.297777706,1.26414931,1.175575422,tri_cut2,1.175575422
CD127-IL7Ra,0.720859126,0.624370627,NA,NA,NA,NA,bi_thr,0.720859126
CD14,0.650284272,0.713864445,0.612953045,0.594124612,1.892169665,1.422162292,bi_cut,0.713864445
CD16,1.01932822,1.081429174,0.944823306,0.867572939,1.642251447,1.74883189,tri_thr2,1.642251447
CD161,0.548667301,0.515583885,NA,NA,NA,NA,bi_thr,0.548667301
CD19,0.539414405,0.632047384,0.461719962,0.395467319,0.80080508,0.877289006,bi_cut,0.632047384
CD197-CCR7,0.627752469,0.617528321,NA,NA,NA,NA,bi_thr,0.627752469
CD25,0.286060795,0.248351467,NA,NA,NA,NA,bi_thr,0.286060795
CD27,1.66332563,1.600105266,1.549501262,1.396743913,4.062149038,2.602309395,bi_thr,1.66332563
CD278-ICOS,0.664357253,0.54316213,0.666515147,0.546893399,1.748070013,1.563314532,tri_cut2,1.563314532
CD28,0.639551261,0.557564509,NA,NA,NA,NA,bi_thr,0.639551261
CD3,2.069576524,2.080440111,NA,NA,NA,NA,bi_thr,2.069576524
CD34,0.658637526,0.653057922,0.486998399,0.368706223,0.862886647,0.822296971,tri_cut2,0.822296971
CD38,0.983296829,0.729091018,NA,NA,NA,NA,bi_thr,0.983296829
CD4,1.006919824,0.828233122,1.012512268,0.812360819,2.696755176,2.643694132,tri_thr1,1.012512268
CD45RA,1.703250364,1.453029228,NA,NA,NA,NA,bi_thr,1.703250364
CD45RO,0.468588084,0.388046956,0.43262021,0.349881995,0.972834712,0.685281622,tri_thr2,0.972834712
CD56,0.297211396,0.297822945,NA,NA,NA,NA,bi_thr,0.297211396
CD57,0.802724548,0.808116336,NA,NA,NA,NA,bi_thr,0.802724548
CD69,0.806271349,0.678809047,0.786608768,0.657547913,2.010338375,1.796491233,tri_cut2,1.796491233
CD79b,0.311694353,0.301708854,NA,NA,NA,NA,bi_thr,0.311694353
CD8a,1.649965566,1.932382853,1.494145887,1.439378344,4.998496969,3.587951484,tri_thr1,1.494145887
HLA.DR,1.136853237,0.990872655,NA,NA,NA,NA,bi_thr,1.136853237
